Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, μmho","Future, NA",Month,,,,
05/09/1985 19:00,3873.79167,1,242,30.3,0.088,0.003,8.55,1.36,43.7,-9,-9,-9,,5,,,,
05/10/1985 19:00,3874.79167,1,216,25.5,0.09,0.001,8.84,1.4,43.6,-9,-9,-9,,5,,,,
05/11/1985 19:00,3875.79167,1,190,17,0.086,-0.005,8.21,1.18,43.2,-9,-9,-9,,5,,,,
05/12/1985 19:00,3876.79167,0.88,169,17.6,0.079,-0.006,7.41,1.23,45.4,-9,-9,-9,,5,,,,
05/13/1985 13:00,3877.54167,0.5,159,29.2,0.093,-0.006,6.48,1.22,45.3,-9,-9,-9,,5,,,,
05/13/1985 19:00,3877.79167,0.63,164,17.5,0.092,0.014,6.7,0.89,46.1,-9,-9,-9,,5,,,,
05/14/1985 19:00,3878.79167,1,154,27.2,0.095,0,5.69,1.19,45.9,-9,-9,-9,,5,,,,
05/15/1985 19:00,3879.79167,1,164,40.3,0.115,-0.001,4.4,1.3,46.1,-9,-9,-9,,5,,,,
05/16/1985 19:00,3880.79167,1,206,45.4,0.121,-0.001,3.4,1.16,50.7,-9,-9,-9,,5,,,,
05/17/1985 19:00,3881.79167,1,644,105,0.183,-0.001,2.72,1.06,49.2,-9,-9,-9,,5,,,,
05/18/1985 19:00,3882.79167,1,949,63.4,0.143,0.002,5.15,1.08,43.6,-9,-9,-9,,5,,,,
05/19/1985 19:00,3883.79167,0.88,1050,81.7,0.182,0.003,5.31,1.1,40.7,-9,-9,-9,,5,,,,
05/20/1985 13:00,3884.54167,0.5,845,123,0.231,0.001,9.19,1.55,36.4,-9,-9,-9,,5,,,,
05/20/1985 19:00,3884.79167,0.63,783,84.7,0.233,0.051,10.5,0.99,37,-9,-9,-9,,5,,,,
05/21/1985 19:00,3885.79167,1,589,62.9,0.2,0.043,12,0.78,38.9,-9,-9,-9,,5,,,,
05/22/1985 19:00,3886.79167,1,447,58.7,0.179,0.038,12.6,1.04,41.9,-9,-9,-9,,5,,,,
05/23/1985 19:00,3887.79167,1,495,76.2,0.187,0.043,14.1,1.3,42.8,-9,-9,-9,,5,,,,
05/24/1985 19:00,3888.79167,1,511,69.1,0.181,0.036,14.4,1.19,45.1,-9,-9,-9,,5,,,,
05/25/1985 19:00,3889.79167,1,373,48.7,0.157,0.024,12.1,1.12,45.5,-9,-9,-9,,5,,,,
05/26/1985 19:00,3890.79167,0.88,283,35.3,0.143,0.021,10.4,1.2,47.7,-9,-9,-9,,5,,,,
05/27/1985 13:00,3891.54167,1,242,32.4,0.131,0.017,9.65,1.07,47.6,-9,-9,-9,,5,,,,
05/28/1985 19:00,3892.79167,1.13,463,54.6,0.178,0.02,7.24,0.68,47.1,-9,-9,-9,,5,,,,
05/29/1985 19:00,3893.79167,0.63,1810,106,0.282,0.033,9.65,1.04,39.7,-9,-9,-9,,5,,,,
05/30/1985 01:00,3894.04167,0.25,1780,194,0.402,0.038,11.4,1.47,38.3,-9,-9,-9,,5,,,,
05/30/1985 07:00,3894.29167,0.25,1660,188,0.4,0.041,12.8,1.6,37.2,-9,-9,-9,,5,,,,
05/30/1985 13:00,3894.54167,0.25,1530,189,0.414,0.036,16.1,1.63,38.2,-9,-9,-9,,5,,,,
05/30/1985 19:00,3894.79167,0.25,1340,160,0.383,0.022,17,1.35,38.6,-9,-9,-9,,5,,,,
05/31/1985 01:00,3895.04167,0.5,1120,127,0.34,0.035,17.8,1.46,38.9,-9,-9,-9,,5,,,,
05/31/1985 19:00,3895.79167,0.88,700,117,0.294,0.032,17.7,1.23,36.7,-9,-9,-9,,5,,,,
06/01/1985 19:00,3896.79167,1,463,73.4,0.245,0.031,17.7,0.81,38.7,-9,-9,-9,,6,,,,
06/02/1985 19:00,3897.79167,0.88,346,66.3,0.229,0.033,16.1,1.13,38.1,-9,-9,-9,,6,,,,
06/03/1985 13:00,3898.54167,0.5,381,70.8,0.229,0.025,14.9,1.32,37.9,-9,-9,-9,,6,,,,
06/03/1985 19:00,3898.79167,0.63,403,72,0.232,0.037,15.5,1.08,40.2,-9,-9,-9,,6,,,,
06/04/1985 19:00,3899.79167,1,373,57.7,0.211,0.03,10.2,0.97,49.2,-9,-9,-9,,6,,,,
06/05/1985 19:00,3900.79167,1,288,42.2,0.2,0.021,11.6,0.99,44.3,-9,-9,-9,,6,,,,
06/06/1985 19:00,3901.79167,1,265,34.3,0.183,0.018,12.4,0.41,45.1,-9,-9,-9,,6,,,,
06/07/1985 19:00,3902.79167,1,333,58.9,0.207,0.022,12.2,0.72,45.9,-9,-9,-9,,6,,,,
06/08/1985 19:00,3903.79167,1,300,44.1,0.189,0.011,11.8,0.92,46.7,-9,-9,-9,,6,,,,
06/09/1985 19:00,3904.79167,0.63,294,43.5,0.19,0.006,9.78,1.2,44.5,-9,-9,-9,,6,,,,
06/10/1985 01:00,3905.04167,0.25,410,86.3,0.264,0.006,9.71,1.11,45.3,-9,-9,-9,,6,,,,
06/10/1985 07:00,3905.29167,0.25,2060,471,0.631,0.009,8.66,2.22,41.7,-9,-9,-9,,6,,,,
06/10/1985 13:00,3905.54167,0.25,3210,370,0.6,0.018,7.48,2.06,40.3,-9,-9,-9,,6,,,,
06/10/1985 19:00,3905.79167,0.25,3420,1130,1.45,0.03,10.8,4.39,30.5,-9,-9,-9,,6,,,,
06/11/1985 01:00,3906.04167,0.25,3210,1720,1.73,0.01,12.8,5.61,24.2,-9,-9,-9,,6,,,,
06/11/1985 07:00,3906.29167,0.25,2830,2330,1.89,-0.002,13.5,6.5,19.2,-9,-9,-9,,6,,,,
06/11/1985 13:00,3906.54167,0.25,2520,1950,1.75,-0.004,13.6,5.9,18.4,-9,-9,-9,,6,,,,
06/11/1985 19:00,3906.79167,0.25,2240,1480,1.61,-0.012,13.3,5.42,18,-9,-9,-9,,6,,,,
06/12/1985 01:00,3907.04167,0.25,2020,1420,1.53,-0.003,11.6,4.21,16,-9,-9,-9,,6,,,,
06/12/1985 07:00,3907.29167,0.25,1760,1120,1.31,-0.012,11.6,4.02,15.5,-9,-9,-9,,6,,,,
06/12/1985 13:00,3907.54167,0.25,1520,812,0.891,-0.005,11.7,3.28,17.1,-9,-9,-9,,6,,,,
06/12/1985 19:00,3907.79167,0.25,1460,589,0.751,-0.017,11.6,2.53,20.4,-9,-9,-9,,6,,,,
06/13/1985 01:00,3908.04167,0.25,1500,615,0.671,-0.009,11.8,2.4,21.9,-9,-9,-9,,6,,,,
06/13/1985 07:00,3908.29167,0.25,1760,644,0.652,0.01,12.4,2.48,21.3,-9,-9,-9,,6,,,,
06/13/1985 13:00,3908.54167,0.25,2020,504,0.662,-0.007,12.2,2.42,20.3,-9,-9,-9,,6,,,,
06/13/1985 19:00,3908.79167,0.25,2260,526,0.702,-0.006,12.2,2.22,20.5,-9,-9,-9,,6,,,,
06/14/1985 01:00,3909.04167,0.25,2420,455,0.655,-0.001,12.7,2.1,24.3,-9,-9,-9,,6,,,,
06/14/1985 07:00,3909.29167,0.25,2420,810,0.891,0,12.2,2.94,22.2,-9,-9,-9,,6,,,,
06/14/1985 13:00,3909.54167,0.25,2320,649,0.77,0.014,12.1,2.31,22.1,-9,-9,-9,,6,,,,
06/14/1985 19:00,3909.79167,0.25,2130,517,0.719,0.003,11.7,2.45,22.7,-9,-9,-9,,6,,,,
06/15/1985 01:00,3910.04167,0.25,1950,458,0.691,0.06,12.2,2.31,23.6,-9,-9,-9,,6,,,,
06/15/1985 07:00,3910.29167,0.25,1760,437,0.702,0.044,12.5,2.3,22.9,-9,-9,-9,,6,,,,
06/15/1985 13:00,3910.54167,0.25,1560,380,0.628,0.034,12.3,2.27,22.3,-9,-9,-9,,6,,,,
06/15/1985 19:00,3910.79167,0.25,1360,364,0.594,0.032,12.2,2.31,22.2,-9,-9,-9,,6,,,,
06/16/1985 01:00,3911.04167,0.25,1170,291,0.535,0.007,12.4,1.85,22.4,-9,-9,-9,,6,,,,
06/16/1985 07:00,3911.29167,0.25,992,244,0.464,0.003,12.7,1.46,23.3,-9,-9,-9,,6,,,,
06/16/1985 13:00,3911.54167,0.25,845,206,0.401,0.005,12.9,1.47,23.6,-9,-9,-9,,6,,,,
06/16/1985 19:00,3911.79167,0.25,771,168,0.357,-0.003,12.7,1.57,26.5,-9,-9,-9,,6,,,,
06/17/1985 01:00,3912.04167,0.25,700,151,0.331,0.018,12.8,1.47,24.9,-9,-9,-9,,6,,,,
06/17/1985 07:00,3912.29167,0.25,653,157,0.326,0.014,12.7,1.16,25.3,-9,-9,-9,,6,,,,
06/17/1985 13:00,3912.54167,0.25,634,141,0.298,-0.003,12.2,1.45,25.2,-9,-9,-9,,6,,,,
06/17/1985 19:00,3912.79167,0.38,653,145,0.214,0.01,13.5,0.87,27.6,-9,-9,-9,,6,,,,
06/18/1985 07:00,3913.29167,0.5,819,139,0.233,0.024,13,1.13,29.6,-9,-9,-9,,6,,,,
06/18/1985 19:00,3913.79167,0.5,1600,178,0.328,0.024,12.4,1.11,32,-9,-9,-9,,6,,,,
06/19/1985 07:00,3914.29167,0.5,2020,218,0.427,0.028,11.7,1.39,31.2,-9,-9,-9,,6,,,,
06/19/1985 19:00,3914.79167,0.5,2170,326,0.506,0.04,13.8,1.61,30.6,-9,-9,-9,,6,,,,
06/20/1985 07:00,3915.29167,0.5,1950,327,0.452,0.025,14,1.39,29.1,-9,-9,-9,,6,,,,
06/20/1985 19:00,3915.79167,0.5,1470,287,0.471,0.022,13.8,1.07,26,-9,-9,-9,,6,,,,
06/21/1985 07:00,3916.29167,0.5,1020,214,0.519,0.034,13.6,1.09,25.9,-9,-9,-9,,6,,,,
06/21/1985 19:00,3916.79167,0.5,760,170,0.443,0.03,13.6,0.79,26.8,-9,-9,-9,,6,,,,
06/22/1985 07:00,3917.29167,0.5,597,123,0.373,0.037,13.5,1.29,26.8,-9,-9,-9,,6,,,,
06/22/1985 19:00,3917.79167,0.5,503,121,0.386,0.033,13.4,1.22,27.5,-9,-9,-9,,6,,,,
06/23/1985 07:00,3918.29167,0.5,439,129,0.366,0.037,13.3,1.21,27.9,-9,-9,-9,,6,,,,
06/23/1985 19:00,3918.79167,0.75,381,102,0.363,0.039,13.1,1.25,28.6,-9,-9,-9,,6,,,,
06/24/1985 19:00,3919.79167,1,313,77.6,0.338,0.034,12.6,0.67,29.9,-9,-9,-9,,6,,,,
06/25/1985 19:00,3920.79167,1,277,70.4,0.284,0.035,12.1,0.98,31.4,-9,-9,-9,,6,,,,
06/26/1985 19:00,3921.79167,1,237,81.5,0.261,0.031,11.3,0.68,32.3,-9,-9,-9,,6,,,,
06/27/1985 19:00,3922.79167,1,200,57.5,0.201,0.002,10.2,0.78,32.9,-9,-9,-9,,6,,,,
06/28/1985 19:00,3923.79167,1,174,51.3,0.172,-0.002,9.1,1.35,32.9,-9,-9,-9,,6,,,,
06/29/1985 19:00,3924.79167,1,154,40,0.147,-0.007,8.44,1.29,34.7,-9,-9,-9,,6,,,,
06/30/1985 19:00,3925.79167,1,138,26.6,0.105,0,7.24,1.22,36.2,-9,-9,-9,,6,,,,
07/01/1985 19:00,3926.79167,1,138,32.7,0.125,0.011,7.11,1.1,37.5,-9,-9,-9,,7,,,,
07/02/1985 19:00,3927.79167,1,143,31,0.128,0.002,5.91,1.26,37.2,-9,-9,-9,,7,,,,
07/03/1985 19:00,3928.79167,1,644,171,0.341,-0.005,5.79,1.87,40,-9,-9,-9,,7,,,,
07/04/1985 19:00,3929.79167,1,503,116,0.225,-0.006,4.34,1.85,37,-9,-9,-9,,7,,,,
07/05/1985 19:00,3930.79167,1,346,87.3,0.212,-0.006,2.83,1.39,36.8,-9,-9,-9,,7,,,,
07/06/1985 19:00,3931.79167,1,259,89.8,0.254,-0.004,4.7,1.13,28.4,-9,-9,-9,,7,,,,
07/07/1985 19:00,3932.79167,0.88,300,95.5,0.274,-0.003,5.81,1.53,30.3,-9,-9,-9,,7,,,,
07/08/1985 13:00,3933.54167,0.5,346,79.1,0.338,0.014,5.69,1.33,32.1,-9,-9,-9,,7,,,,
07/08/1985 19:00,3933.79167,0.63,320,88.9,0.171,0.065,5.49,0.88,-9,-9,-9,-9,,7,,,,
07/09/1985 19:00,3934.79167,1,253,65.9,0.163,0.062,4.67,1.03,32.2,-9,-9,-9,,7,,,,
07/10/1985 19:00,3935.79167,1,432,120,0.223,0.066,3.76,1.06,35.6,-9,-9,-9,,7,,,,
07/11/1985 19:00,3936.79167,1,795,131,0.243,0.079,3.61,1.03,36.1,-9,-9,-9,,7,,,,
07/12/1985 19:00,3937.79167,1,545,96.7,0.197,0.063,4.46,0.99,29.4,-9,-9,-9,,7,,,,
07/13/1985 19:00,3938.79167,1,353,69.6,0.211,0.06,3.79,0.95,27.8,-9,-9,-9,,7,,,,
07/14/1985 19:00,3939.79167,0.88,253,70.5,0.203,0.075,3.99,0.91,27.6,-9,-9,-9,,7,,,,
07/15/1985 13:00,3940.54167,0.5,471,130,0.26,0.072,3.87,1.18,26.8,-9,-9,-9,,7,,,,
07/15/1985 19:00,3940.79167,0.25,1060,528,0.664,0.044,4.37,2.16,25.3,-9,-9,-9,,7,,,,
07/16/1985 01:00,3941.04167,0.25,884,653,0.862,0.059,4.47,2.73,18.1,-9,-9,-9,,7,,,,
07/16/1985 07:00,3941.29167,0.25,653,548,0.738,0.047,4.83,2.26,17.2,-9,-9,-9,,7,,,,
07/16/1985 13:00,3941.54167,0.25,545,403,0.616,0.038,4.89,1.86,17.2,-9,-9,-9,,7,,,,
07/16/1985 19:00,3941.79167,0.25,487,302,0.514,0.08,5,1.55,18.4,-9,-9,-9,,7,,,,
07/17/1985 01:00,3942.04167,0.25,471,185,0.428,0.041,4.96,1.31,21.2,-9,-9,-9,,7,,,,
07/17/1985 07:00,3942.29167,0.38,432,138,0.385,0.04,4.88,1.49,20.9,-9,-9,-9,,7,,,,
07/17/1985 19:00,3942.79167,0.75,381,151,0.322,0.038,4.76,1.15,21.5,-9,-9,-9,,7,,,,
07/18/1985 19:00,3943.79167,1,300,83.8,0.27,0.034,4.8,0.94,25.8,-9,-9,-9,,7,,,,
07/19/1985 19:00,3944.79167,1,221,82.7,0.222,0.043,3.97,0.97,28.2,-9,-9,-9,,7,,,,
07/20/1985 19:00,3945.79167,1,164,59.6,0.197,0.045,3.91,0.81,27.6,-9,-9,-9,,7,,,,
07/21/1985 19:00,3946.79167,0.88,125,34.1,0.168,0.029,3.42,0.87,29.1,-9,-9,-9,,7,,,,
07/22/1985 13:00,3947.54167,0.5,159,49.7,0.172,0.021,3.47,0.78,31.3,-9,-9,-9,,7,,,,
07/22/1985 19:00,3947.79167,0.63,148,49.9,0.135,0.005,3.59,0.64,31.4,-9,-9,-9,,7,,,,
07/23/1985 19:00,3948.79167,1,116,57.9,0.121,-0.003,1.58,1.31,31.9,-9,-9,-9,,7,,,,
07/24/1985 19:00,3949.79167,1,93,50.2,0.108,-0.003,1.15,1.53,35.5,-9,-9,-9,,7,,,,
07/25/1985 19:00,3950.79167,1,79,36.4,0.096,-0.003,0.75,1.21,38.3,-9,-9,-9,,7,,,,
07/26/1985 19:00,3951.79167,1,79,45,0.1,-0.003,0.47,1.41,42.3,-9,-9,-9,,7,,,,
07/27/1985 19:00,3952.79167,1,79,49,0.1,-0.003,0.31,1.07,44.1,-9,-9,-9,,7,,,,
07/28/1985 19:00,3953.79167,0.88,83,64.4,0.114,-0.003,0.18,1.1,46.6,-9,-9,-9,,7,,,,
07/29/1985 13:00,3954.54167,0.5,98,76,0.118,-0.003,0.18,1.02,46.9,-9,-9,-9,,7,,,,
07/29/1985 19:00,3954.79167,0.63,102,58.8,0.11,0.012,0.61,1.07,47.9,-9,-9,-9,,7,,,,
07/30/1985 19:00,3955.79167,1,90,42.7,0.098,0.008,0.23,1.06,47.8,-9,-9,-9,,7,,,,
07/31/1985 19:00,3956.79167,1,120,69.4,0.132,0.007,0.32,1.09,46.9,-9,-9,-9,,7,,,,
08/01/1985 19:00,3957.79167,1,116,52.1,0.129,0.004,0.27,1.22,50,-9,-9,-9,,8,,,,
08/02/1985 19:00,3958.79167,1,90,45.1,0.124,0.003,0.09,1.26,48.2,-9,-9,-9,,8,,,,
08/03/1985 19:00,3959.79167,1,86,43.1,0.122,0.001,0.29,1.32,45.9,-9,-9,-9,,8,,,,
08/04/1985 19:00,3960.79167,0.88,79,42.4,0.11,0.001,0.2,1.11,41.9,-9,-9,-9,,8,,,,
08/05/1985 13:00,3961.54167,0.5,65,35.7,0.146,0.001,0.07,1.46,40.1,-9,-9,-9,,8,,,,
08/05/1985 19:00,3961.79167,0.63,65,27.9,0.14,0.037,0.6,0.84,40.5,-9,-9,-9,,8,,,,
08/06/1985 19:00,3962.79167,1,76,36,0.157,0.033,0.5,0.9,41,-9,-9,-9,,8,,,,
08/07/1985 19:00,3963.79167,1,72,41.8,0.145,0.018,0.49,0.91,41.3,-9,-9,-9,,8,,,,
08/08/1985 19:00,3964.79167,1,72,37.9,0.124,0.007,0.14,1.14,42,-9,-9,-9,,8,,,,
08/09/1985 19:00,3965.79167,1,93,34.2,0.123,0.004,0.05,1.04,44,-9,-9,-9,,8,,,,
08/10/1985 19:00,3966.79167,1,90,31.6,0.123,0.001,0.02,1.04,45.8,-9,-9,-9,,8,,,,
08/11/1985 19:00,3967.79167,0.88,107,39.4,0.123,0,0.02,1.15,46.5,-9,-9,-9,,8,,,,
08/12/1985 13:00,3968.54167,0.5,90,44.5,0.137,-0.001,0.02,0.94,46.4,-9,-9,-9,,8,,,,
08/12/1985 19:00,3968.79167,0.63,86,44.4,0.12,-0.001,0.44,0.77,46.1,-9,-9,-9,,8,,,,
08/13/1985 19:00,3969.79167,1,79,33.4,0.092,-0.005,0.38,0.72,45.5,-9,-9,-9,,8,,,,
08/14/1985 19:00,3970.79167,1,76,35.6,0.097,-0.001,0.38,0.68,42.6,-9,-9,-9,,8,,,,
08/15/1985 19:00,3971.79167,1,248,169,0.224,0.004,0.59,1.11,45.4,-9,-9,-9,,8,,,,
08/16/1985 19:00,3972.79167,1,359,100,0.187,0.005,0.34,1.19,40.6,-9,-9,-9,,8,,,,
08/17/1985 19:00,3973.79167,1,231,72.8,0.145,-0.003,0.43,1.17,33.3,-9,-9,-9,,8,,,,
08/18/1985 19:00,3974.79167,0.88,403,147,0.235,-0.004,0.88,1.44,29,-9,-9,-9,,8,,,,
08/19/1985 13:00,3975.54167,0.5,353,97,0.203,0.001,1.2,1.14,30.5,-9,-9,-9,,8,,,,
08/19/1985 19:00,3975.79167,0.63,326,101,0.21,0.041,1.11,0.84,33.7,-9,-9,-9,,8,,,,
08/20/1985 19:00,3976.79167,1,253,85.4,0.181,0.019,0.77,0.93,38.9,-9,-9,-9,,8,,,,
08/21/1985 19:00,3977.79167,1,211,69.2,0.166,0.024,1.21,0.68,46.4,-9,-9,-9,,8,,,,
08/22/1985 19:00,3978.79167,1,143,66.2,0.15,0.013,0.06,0.93,40,-9,-9,-9,,8,,,,
08/23/1985 19:00,3979.79167,1,111,65.6,0.161,0.01,0.02,0.87,39.6,-9,-9,-9,,8,,,,
08/24/1985 19:00,3980.79167,1,125,68.7,0.178,0.008,0.02,0.91,45.7,-9,-9,-9,,8,,,,
08/25/1985 19:00,3981.79167,0.88,148,80.5,0.184,0.006,0.02,0.66,42.4,-9,-9,-9,,8,,,,
08/26/1985 13:00,3982.54167,0.5,169,63.3,0.16,0.005,0.32,1.09,42.9,-9,-9,-9,,8,,,,
08/26/1985 19:00,3982.79167,0.63,221,91.9,0.177,0.006,0.6,0.92,39.7,-9,-9,-9,,8,,,,
08/27/1985 19:00,3983.79167,1,288,89.2,0.184,0.004,1.05,0.88,37.4,-9,-9,-9,,8,,,,
08/28/1985 19:00,3984.79167,1,259,71.3,0.169,0.007,1.1,0.9,30.5,-9,-9,-9,,8,,,,
08/29/1985 19:00,3985.79167,1,211,53.7,0.135,0.004,1.04,0.91,30.8,-9,-9,-9,,8,,,,
08/30/1985 19:00,3986.79167,1,381,125,0.211,0.004,1.08,1.1,33.8,-9,-9,-9,,8,,,,
08/31/1985 19:00,3987.79167,1,884,147,0.279,0.005,1.14,1.07,37.3,-9,-9,-9,,8,,,,
09/01/1985 19:00,3988.79167,0.88,653,126,0.303,0.005,1.81,1.14,26.1,-9,-9,-9,,9,,,,
09/02/1985 13:00,3989.54167,0.5,511,93.9,0.261,0.007,1.88,0.87,26.4,-9,-9,-9,,9,,,,
09/02/1985 19:00,3989.79167,0.63,455,98.7,0.225,0.048,2.16,0.91,26.9,-9,-9,-9,,9,,,,
09/03/1985 19:00,3990.79167,1,294,83.9,0.228,0.041,1.68,0.99,30.7,-9,-9,-9,,9,,,,
09/04/1985 19:00,3991.79167,1,200,71.5,0.183,0.028,1.28,0.89,32.8,-9,-9,-9,,9,,,,
09/05/1985 19:00,3992.79167,1,143,53.2,0.153,0.035,1.32,1.04,34.2,-9,-9,-9,,9,,,,
09/06/1985 19:00,3993.79167,1,116,43.4,0.138,0.037,1.37,0.96,35.4,-9,-9,-9,,9,,,,
09/07/1985 19:00,3994.79167,1,102,32.3,0.121,0.035,1.33,0.94,35.5,-9,-9,-9,,9,,,,
09/08/1985 19:00,3995.79167,0.88,98,48.5,0.129,0.023,1.28,0.92,36.5,-9,-9,-9,,9,,,,
09/09/1985 13:00,3996.54167,0.5,138,45,0.141,0.028,1.18,0.9,36.1,-9,-9,-9,,9,,,,
09/09/1985 19:00,3996.79167,0.63,200,45.4,0.114,0.056,1.57,0.71,37.9,-9,-9,-9,,9,,,,
09/10/1985 19:00,3997.79167,1,381,103,0.175,0.063,1.47,0.97,28.3,-9,-9,-9,,9,,,,
09/11/1985 19:00,3998.79167,1,211,82,0.207,0.045,1.34,1.21,26.1,-9,-9,-9,,9,,,,
09/12/1985 19:00,3999.79167,1,134,86.7,0.221,0.028,1.27,0.91,26,-9,-9,-9,,9,,,,
09/13/1985 19:00,4000.79167,1,102,53.5,0.143,0.019,1.24,0.92,28.3,-9,-9,-9,,9,,,,
09/14/1985 19:00,4001.79167,1,86,49.4,0.135,0.009,1.29,0.82,30.4,-9,-9,-9,,9,,,,
09/15/1985 19:00,4002.79167,0.88,79,47.5,0.129,-0.003,1.02,0.97,31.6,-9,-9,-9,,9,,,,
09/16/1985 13:00,4003.54167,0.5,72,45.9,0.125,-0.004,0.59,0.94,33.5,-9,-9,-9,,9,,,,
09/16/1985 19:00,4003.79167,0.63,72,76.9,0.147,0,0.98,1.09,34.2,-9,-9,-9,,9,,,,
09/17/1985 19:00,4004.79167,1,69,36.3,0.1,-0.005,0.6,0.88,36.5,-9,-9,-9,,9,,,,
09/18/1985 19:00,4005.79167,1,62,26.2,0.081,-0.005,0.22,0.98,38.8,-9,-9,-9,,9,,,,
09/19/1985 19:00,4006.79167,1,58,24.1,0.085,-0.006,0.13,0.98,39.8,-9,-9,-9,,9,,,,
09/20/1985 19:00,4007.79167,1,33,18.6,0.085,-0.006,0.02,0.93,41.6,-9,-9,-9,,9,,,,
09/21/1985 19:00,4008.79167,1,44,19.6,0.093,-0.006,0.01,0.92,42.8,-9,-9,-9,,9,,,,
09/22/1985 19:00,4009.79167,0.88,47,20.4,0.089,-0.006,0.01,1.01,42.8,-9,-9,-9,,9,,,,
09/23/1985 13:00,4010.54167,0.5,47,35.4,0.104,-0.006,0,1.07,46.1,-9,-9,-9,,9,,,,
09/23/1985 19:00,4010.79167,0.63,58,22.8,0.097,0.012,0.09,0.94,46,-9,-9,-9,,9,,,,
09/24/1985 19:00,4011.79167,1,58,26.3,0.115,0.009,0.08,0.8,49.3,-9,-9,-9,,9,,,,
09/25/1985 19:00,4012.79167,1,53,34.1,0.124,0.003,0.02,1.07,82.5,-9,-9,-9,,9,,,,
09/26/1985 19:00,4013.79167,1,30,25.8,0.12,0.003,0.03,1.08,74.4,-9,-9,-9,,9,,,,
09/27/1985 19:00,4014.79167,1,41,18.4,0.1,0.003,0.02,0.93,76.5,-9,-9,-9,,9,,,,
09/28/1985 19:00,4015.79167,1,44,18.8,0.104,0.003,0.02,-9,65.1,-9,-9,-9,,9,,,,
09/29/1985 19:00,4016.79167,0.88,41,15.8,0.097,0.003,0.02,0.95,64.1,-9,-9,-9,,9,,,,
09/30/1985 13:00,4017.54167,0.5,47,16.7,0.107,0.003,0.02,0.86,62.5,-9,-9,-9,,9,,,,
09/30/1985 19:00,4017.79167,0.63,47,14.4,0.115,0.015,0.03,0.97,60,-9,-9,-9,,9,,,,
10/01/1985 19:00,4018.79167,1,47,14.2,0.125,0.012,0.04,1.19,59.4,-9,-9,-9,,10,,,,
10/02/1985 19:00,4019.79167,1,53,10.6,0.132,0.021,0.03,1.29,62.8,-9,-9,-9,,10,,,,
10/03/1985 19:00,4020.79167,1,39,10.4,0.099,0.004,0.04,1.04,70.5,-9,-9,-9,,10,,,,
10/04/1985 19:00,4021.79167,1,39,12,0.1,0.001,0.04,1.06,66.5,-9,-9,-9,,10,,,,
10/05/1985 19:00,4022.79167,1,44,11.7,0.114,0,0,1.2,63.6,-9,-9,-9,,10,,,,
10/06/1985 19:00,4023.79167,0.88,39,10.4,0.119,0,0.01,1.29,58.8,-9,-9,-9,,10,,,,
10/07/1985 13:00,4024.54167,0.5,36,9,0.11,0,0.03,1.25,57.2,-9,-9,-9,,10,,,,
10/07/1985 19:00,4024.79167,0.63,41,10.5,0.11,0,0.05,1.1,57.4,-9,-9,-9,,10,,,,
10/08/1985 19:00,4025.79167,1,53,14.8,0.111,0.002,0.02,1.17,58.2,-9,-9,-9,,10,,,,
10/09/1985 19:00,4026.79167,1,39,14.6,0.107,-0.002,-0.01,1.24,53.3,-9,-9,-9,,10,,,,
10/10/1985 19:00,4027.79167,1,44,13.9,0.101,-0.003,-0.02,1.08,51.7,-9,-9,-9,,10,,,,
10/11/1985 19:00,4028.79167,1,41,12.6,0.102,-0.001,-0.03,1.16,50.6,-9,-9,-9,,10,,,,
10/12/1985 19:00,4029.79167,1,53,11.2,0.083,-0.004,0.04,1.11,51.1,-9,-9,-9,,10,,,,
10/13/1985 19:00,4030.79167,0.88,50,13.9,0.102,-0.004,-0.04,1.16,52.8,-9,-9,-9,,10,,,,
10/14/1985 13:00,4031.54167,0.5,41,14.4,0.09,-0.003,0.06,0.96,52.5,-9,-9,-9,,10,,,,
10/14/1985 19:00,4031.79167,0.63,50,12.3,0.101,-0.008,0.13,1.03,57.5,-9,-9,-9,,10,,,,
10/15/1985 19:00,4032.79167,1,231,34.4,0.112,-0.005,0.55,0.87,52.9,-9,-9,-9,,10,,,,
10/16/1985 19:00,4033.79167,1,283,34.9,0.137,0.002,0.3,0.79,45.8,-9,-9,-9,,10,,,,
10/17/1985 19:00,4034.79167,1,237,20.2,0.098,-0.005,0.48,0.78,53.9,-9,-9,-9,,10,,,,
10/18/1985 19:00,4035.79167,1,159,22.9,0.107,-0.003,0.58,0.76,43.1,-9,-9,-9,,10,,,,
10/19/1985 19:00,4036.79167,1,253,37.7,0.137,-0.003,-9,0.9,48.1,-9,-9,-9,,10,,,,
10/20/1985 19:00,4037.79167,0.88,211,41.1,0.098,0.011,2.41,0.92,59.4,-9,-9,-9,,10,,,,
10/21/1985 13:00,4038.54167,0.5,226,31.9,0.107,0.001,2.49,1.02,49.7,-9,-9,-9,,10,,,,
10/21/1985 19:00,4038.79167,0.63,226,28.4,0.161,0.021,2.65,1.02,50.2,-9,-9,-9,,10,,,,
10/22/1985 19:00,4039.79167,1,206,34.1,0.151,0.017,2.9,1.05,44.1,-9,-9,-9,,10,,,,
